accession,Organism Name,GenBank/RefSeq,Submitters,Organization,Submitter Country,Release date,Isolate,Virus Lineage,Length,Nuc Completeness,Proteins/Segments,Segment,Is Vaccine Strain,Geographic Region,Geographic Location,Host,Host Lineage,Lab Host,Tissue/Specimen/Source,Collection Date,Sample Name,Annotated,SRA Accessions,Bioprojects,Biosample,Protein count,Gene count,Mature Peptide Count,definition,strain,isolation_source,create_date,update_date,assembly_name,authors,title,journal,pubmed_id,reference_count,comment
JQ431198.1,,GenBank,,,,2012-09-15,,[],1701,complete,,4,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431242.1,,GenBank,,,,2012-09-15,,[],982,complete,,7,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431251.1,,GenBank,,,,2012-09-15,,[],982,complete,,7,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431259.1,,GenBank,,,,2012-09-15,,[],1410,complete,,6,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431288.1,,GenBank,,,,2012-09-15,,[],1497,complete,,5,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431376.1,,GenBank,,,,2012-09-15,,[],2274,complete,,2,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,2,,,,,,,,,,,,,
JQ431392.1,,GenBank,,,,2012-09-15,,[],2280,complete,,1,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431231.1,,GenBank,,,,2012-09-15,,[],982,complete,,7,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431234.1,,GenBank,,,,2012-09-15,,[],982,complete,,7,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431277.1,,GenBank,,,,2012-09-15,,[],1410,complete,,6,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431280.1,,GenBank,,,,2012-09-15,,[],1497,complete,,5,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431282.1,,GenBank,,,,2012-09-15,,[],1497,complete,,5,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431316.1,,GenBank,,,,2012-09-15,,[],838,complete,,8,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431325.1,,GenBank,,,,2012-09-15,,[],838,complete,,8,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431389.1,,GenBank,,,,2012-09-15,,[],2280,complete,,1,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
DQ986133.1,,GenBank,,,,2006-10-01,,[],982,complete,,7,False,Europe,France,,[],,,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431207.1,,GenBank,,,,2012-09-15,,[],1701,complete,,4,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431218.1,,GenBank,,,,2012-09-15,,[],1701,complete,,4,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431261.1,,GenBank,,,,2012-09-15,,[],1410,complete,,6,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431315.1,,GenBank,,,,2012-09-15,,[],838,complete,,8,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431328.1,,GenBank,,,,2012-09-15,,[],838,complete,,8,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431342.1,,GenBank,,,,2012-09-15,,[],2151,complete,,3,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431353.1,,GenBank,,,,2012-09-15,,[],2151,complete,,3,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431379.1,,GenBank,,,,2012-09-15,,[],2280,complete,,1,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431196.1,,GenBank,,,,2012-09-15,,[],1701,complete,,4,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431206.1,,GenBank,,,,2012-09-15,,[],1701,complete,,4,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431209.1,,GenBank,,,,2012-09-15,,[],1701,complete,,4,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431214.1,,GenBank,,,,2012-09-15,,[],1701,complete,,4,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431226.1,,GenBank,,,,2012-09-15,,[],982,complete,,7,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431248.1,,GenBank,,,,2012-09-15,,[],982,complete,,7,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,2,2,,,,,,,,,,,,,
JQ431270.1,,GenBank,,,,2012-09-15,,[],1410,complete,,6,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
JQ431285.1,,GenBank,,,,2012-09-15,,[],1497,complete,,5,False,Europe,France: Reunion Island,,[],,oronasopharynx,,,True,[],[],,1,1,,,,,,,,,,,,,
