accession,Organism Name,GenBank/RefSeq,Submitters,Organization,Submitter Country,Release date,Isolate,Virus Lineage,Length,Nuc Completeness,Proteins/Segments,Segment,Is Vaccine Strain,Geographic Region,Geographic Location,Host,Host Lineage,Lab Host,Tissue/Specimen/Source,Collection Date,Sample Name,Annotated,SRA Accessions,Bioprojects,Biosample,Protein count,Gene count,Mature Peptide Count,definition,strain,isolation_source,create_date,update_date,assembly_name,authors,title,journal,pubmed_id,reference_count,comment
OM570189.1,,GenBank,,,,2022-02-08,,[],29785,partial,,,False,North America,USA: Pennsylvania,,[],,,,,True,[],[],,11,11,26,,,,,,,,,,,,
OM570192.1,,GenBank,,,,2022-02-08,,[],29787,partial,,,False,North America,USA: Pennsylvania,,[],,,,,True,[],[],,10,11,26,,,,,,,,,,,,
OP006285.1,,GenBank,,,,2022-09-01,,[],29757,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,11,11,26,,,,,,,,,,,,
OP006286.1,,GenBank,,,,2022-09-01,,[],29759,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,11,11,25,,,,,,,,,,,,
OP006287.1,,GenBank,,,,2022-09-01,,[],29450,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,10,9,25,,,,,,,,,,,,
OP006290.1,,GenBank,,,,2022-09-01,,[],29759,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,11,11,25,,,,,,,,,,,,
OP006292.1,,GenBank,,,,2022-09-01,,[],29759,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,11,11,25,,,,,,,,,,,,
OP006293.1,,GenBank,,,,2022-09-01,,[],29744,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,11,11,25,,,,,,,,,,,,
OP006294.1,,GenBank,,,,2022-09-01,,[],29474,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,11,11,26,,,,,,,,,,,,
OP006299.1,,GenBank,,,,2022-09-01,,[],29759,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,9,11,25,,,,,,,,,,,,
OP006301.1,,GenBank,,,,2022-09-01,,[],29756,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,10,11,25,,,,,,,,,,,,
OP006303.1,,GenBank,,,,2022-09-01,,[],29759,partial,,,False,North America,USA: NY,,[],,,,,True,[],[],,9,11,25,,,,,,,,,,,,
